Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk
Cottage Cheese (1 cup low fat),Dairy,160,28,6,2.5,0,4,820,10,Lunch,250,,Moderate
Tomato (1 medium sliced),Vegetable,22,1.1,4.8,0.2,1.5,3.2,6,0,Lunch,0,,Healthy
Black Pepper (1 tsp),Condiment,6,0.2,1.5,0.1,0.6,0,0,0,Lunch,0,,Healthy
Chocolate Pudding (1/2 cup),Dessert,150,2,28,4,2,22,130,2,Snack,0,,Moderate
Mackerel (3oz cooked),Protein/Fish,175,16,0,12,0,0,75,65,Dinner,0,,Healthy
Collard Greens (1 cup cooked),Vegetable,60,5,10,1,7,1,40,0,Dinner,0,,Healthy
Ham (3oz deli sliced),Protein/Meat,110,16,2,4,0,1.5,950,45,Lunch,0,,Moderate
Swiss Cheese (1 slice),Dairy,106,7.6,1,8,0,0.4,54,26,Lunch,0,,Healthy
Rye Bread (1 slice),Grain,83,2.7,15.5,1.1,1.9,1.2,170,0,Lunch,0,,Healthy
Potato Leek Soup (1 cup),Meal/Vegetable,180,4,25,7,3,4,650,15,Lunch,250,,Moderate
Brie Cheese (1 oz),Dairy,95,6,0.1,7.9,0,0.1,178,28,Snack,0,,Healthy
Water Cracker (5 crackers),Grain/Processed,70,1.5,12,1.5,0.5,0,150,0,Snack,0,,Healthy
Grapefruit (1/2 medium),Fruit,52,1.1,13.2,0.2,2,8.5,0,0,Breakfast,0,,Healthy
Veggie Straws (1 oz),Snack/Processed,130,1,17,7,1,1,220,0,Snack,0,,Healthy
Fish Tacos (2 tacos),Meal/Fish,420,25,40,18,6,5,700,60,Dinner,500,,Moderate
Cabbage Slaw (side),Vegetable,60,1,8,3,2,5,120,5,Dinner,0,,Healthy
Lime (juice of 1),Condiment,11,0.2,3.7,0,0.4,0.7,1,0,Dinner,0,,Healthy
Beer (12 oz light),Beverage,103,0.9,5.8,0,0,0.3,10,0,Snack,355,,Healthy
Danish (Cheese 1 medium),Dessert,340,7,38,18,2,16,300,55,Breakfast,250,,Moderate
Kefir (Plain 1 cup),Beverage/Dairy,104,10,10,2.5,0,9,100,10,Breakfast,240,,Healthy
Gnocchi (1 cup),Meal/Pasta,210,4.5,45,1.5,3,2,480,0,Dinner,0,,Moderate
Pesto Sauce (1/4 cup),Condiment,260,5,4,26,2,1,550,5,Dinner,0,,Moderate
Pine Nuts (1 tbsp),Nut,95,2,2,10,0.5,0.5,0,0,Dinner,0,,Healthy
Chai Latte (12 oz),Beverage,190,7,32,4,1,30,105,15,Snack,355,,Moderate
Manicotti (2 shells cheese),Meal/Pasta,380,20,35,18,4,7,650,60,Dinner,0,,Moderate
Italian Sausage (1 link),Protein/Meat,200,12,3,16,0,1,550,50,Dinner,0,,Moderate
Jicama (1 cup sticks),Vegetable,46,0.9,10.6,0.1,5.8,2.1,5,0,Snack,0,,Healthy
Chili Powder (1 tsp),Condiment,8,0.3,1.4,0.4,0.9,0.2,10,0,Snack,0,,Healthy
Ants on a Log (4 pcs),Snack,180,6,12,12,3,7,120,0,Snack,250,,Healthy
Split Pea Soup (1 cup),Meal/Legume,180,11,30,2,10,6,700,5,Lunch,250,,Healthy
Ham & Cheese Croissant,Meal/Processed,400,15,35,22,2,6,750,60,Breakfast,250,,Unhealthy
Espresso (double shot),Beverage,5,0.5,0,0.1,0,0,1,0,Breakfast,60,,Healthy
Ricotta Cheese (1/4 cup),Dairy,85,5.5,2.5,6,0,1,50,24,Dinner,0,,Healthy
Chicken & Rice Soup (1 can),Meal/Processed,130,7,18,3,2,2,850,15,Lunch,250,,Moderate
Salt (1/4 tsp),Condiment,0,0,0,0,0,0,580,0,Dinner,0,,Moderate
Guava,Fruit,68,2.6,14.3,0.9,5.4,8.9,3,0,Snack,0,,Healthy
Club Sandwich,Meal/Processed,580,35,40,30,5,7,1300,95,Lunch,500,,Moderate
Pickle (1 whole dill),Vegetable,17,0.8,3.7,0.2,1.5,1.7,1200,0,Snack,0,,Moderate
Turkey Chili (1 cup),Meal/Meat,250,22,25,7,8,6,750,50,Dinner,250,,Healthy
Sour Cream (2 tbsp),Condiment/Dairy,60,0.8,1.3,5.8,0,0.8,25,12,Dinner,0,,Healthy
Shredded Cheese (Cheddar 1/4 cup),Dairy,115,7,1,9.5,0,0.5,180,30,Dinner,0,,Healthy
Matcha Latte (12 oz),Beverage,180,6,28,5,2,25,90,20,Snack,355,,Moderate
Chocolate Donut (1 medium),Dessert,300,4,35,17,2,18,230,20,Breakfast,0,,Moderate
Tuna Melt,Meal/Processed,450,25,32,25,3,4,900,50,Lunch,250,,Unhealthy
Apple Cider (1 cup),Beverage,117,0.1,29,0.3,0.5,27,10,0,Snack,240,,Moderate
Beef Burrito (large),Meal/Processed,650,30,70,28,10,5,1400,70,Dinner,500,,Moderate
Pico de Gallo (1/4 cup),Condiment,15,0.5,3,0,1,2,200,0,Dinner,0,,Healthy
Corn Tortilla (1 medium),Grain,52,1.4,11.2,0.7,1.5,0.2,4,0,Dinner,0,,Healthy
Mussels (3oz steamed),Protein/Seafood,146,20,6,4,0,0,310,48,Dinner,0,,Healthy
White Wine Sauce (1/4 cup),Condiment,80,1,4,6,0.5,2,300,5,Dinner,0,,Healthy
French Bread (2 slices),Grain,180,6,36,1,2,2,380,0,Dinner,0,,Healthy
Blackberries (1 cup),Fruit,62,2,13.8,0.7,7.6,4.9,1,0,Snack,0,,Healthy
Cheese Danish,Dessert,340,7,38,18,2,16,300,55,Breakfast,250,,Moderate
Chicken Salad Sandwich,Meal/Processed,420,20,35,20,3,5,850,60,Lunch,250,,Unhealthy
Soyrizo (2 oz),Protein/Vegetarian,140,10,6,9,3,2,450,0,Breakfast,0,,Moderate
Hash Browns (1 cup),Vegetable,330,3,38,19,3,1,550,0,Breakfast,0,,Moderate
Ketchup (1 packet),Condiment,10,0.1,2.5,0,0.1,2,90,0,Breakfast,0,,Healthy
Philly Cheesesteak (6 inch),Meal/Processed,500,25,40,28,3,5,1100,70,Lunch,500,,Unhealthy
Cheese Whiz (2 tbsp),Condiment/Processed,90,4,3,7,0,2,540,20,Lunch,0,,Moderate
Onions (sautéed 1/4 cup),Vegetable,30,0.5,5,1,1,3,5,0,Lunch,0,,Healthy
Raspberries (1 cup),Fruit,64,1.5,14.7,0.8,8,5.4,1,0,Snack,0,,Healthy
Cheesy Grits (1 cup),Meal/Grain,210,6,34,6,2,1,550,20,Breakfast,0,,Moderate
Collard Greens (with ham hock),Vegetable,180,10,15,9,8,3,600,30,Dinner,0,,Healthy
Fried Okra (1 cup),Vegetable,220,4,25,12,5,3,450,10,Dinner,0,,Healthy
Sweet Tea (16 oz),Beverage,180,0,46,0,0,46,15,0,Lunch,473,,Moderate
Gyro (1 sandwich),Meal/Meat,600,25,55,30,5,6,1200,80,Dinner,250,,Moderate
Pita Bread (White 1 large),Grain,220,7,45,2,2,2,440,0,Dinner,0,,Moderate
Tzatziki Sauce (2 tbsp),Condiment,30,1.5,2,2,0,1.5,100,5,Dinner,0,,Healthy
Baklava (1 piece),Dessert,280,3,30,18,2,20,80,10,Snack,0,,Moderate
Coconut (shredded 1/4 cup),Fruit,110,1,4.5,10.5,2,1.5,3,0,Snack,0,,Healthy
S'more (1 serving),Dessert,140,2,25,4,1,15,90,0,Snack,0,,Moderate
Graham Cracker (1 large rectangle),Grain/Processed,60,1,11,1.5,0.5,4,70,0,Snack,0,,Healthy
Marshmallow (1 large),Dessert,23,0.1,5.8,0,0,4,5,0,Snack,0,,Healthy
Chocolate (Hershey's bar 1 segment),Dessert,25,0.3,3,1.5,0.2,2.8,4,1,Snack,0,,Healthy
Chicken Parm Sandwich,Meal/Processed,650,40,55,30,6,9,1400,100,Lunch,500,,Moderate
Mozzarella (1 slice),Dairy,80,6,1,6,0,0.5,150,20,Lunch,0,,Healthy
Bread Roll (hoagie),Grain,200,6,38,2,2,3,400,0,Lunch,0,,Healthy
Artichoke (1 medium steamed),Vegetable,60,4.2,13.4,0.2,6.9,1.2,112,0,Dinner,0,,Healthy
Mayonnaise (1 tbsp for dipping),Condiment,90,0.1,0.1,10,0,0.1,70,5,Dinner,0,,Healthy
Calamari (fried 3oz),Meal/Seafood,150,13,8,7,1,1,600,220,Dinner,0,,Moderate
Lemon Wedge (for calamari),Condiment,3,0.1,1,0,0.3,0.2,0,0,Dinner,0,,Healthy
Root Beer (1 can),Beverage,150,0,40,0,0,40,55,0,Snack,355,,Moderate
Chicken McNuggets (6 pcs),Meal/Processed,270,15,16,16,1,0,500,40,Lunch,0,,Moderate
BBQ Sauce (2 tbsp),Condiment,60,0.5,15,0,0.5,12,350,0,Lunch,0,,Healthy
Honey (1 tbsp),Condiment,64,0.1,17.3,0,0,17.2,1,0,Breakfast,0,,Moderate
Tofu Scramble,Meal/Vegetarian,250,20,8,16,4,3,300,0,Breakfast,250,,Healthy
Turmeric (1 tsp),Condiment,9,0.3,1.9,0.1,0.7,0.1,1,0,Breakfast,0,,Healthy
Nutritional Yeast (1 tbsp),Condiment,20,3,2,0,1,0,10,0,Breakfast,0,,Healthy
Seitan (3oz),Protein/Vegetarian,90,18,4,1,1,1,300,0,Dinner,0,,Healthy
Vegetable Broth (1 cup),Beverage,15,1,3,0,1,2,550,0,Dinner,240,,Moderate
Mashed Cauliflower (1 cup),Vegetable,140,5,12,8,5,4,400,25,Dinner,0,,Healthy
Peanut Sauce (2 tbsp),Condiment,80,2,4,6,1,3,250,0,Dinner,0,,Healthy
Tempeh (3oz),Protein/Vegetarian,160,16,8,9,5,0,10,0,Lunch,0,,Healthy
Sauerkraut (1/2 cup),Vegetable,14,0.7,3.1,0.1,2,1.2,468,0,Lunch,0,,Moderate
Rye Crispbread (2 slices),Grain,70,2,14,0.5,3,0,120,0,Lunch,0,,Healthy
Capers (1 tbsp),Condiment,2,0.2,0.4,0.1,0.3,0.1,200,0,Dinner,0,,Healthy
Chicken Liver (2 oz cooked),Protein/Meat,91,13.6,0.6,3.6,0,0,50,320,Dinner,0,,Healthy
Onion (1/2 cup raw chopped),Vegetable,32,0.9,7.5,0.1,1.4,3.8,3,0,Dinner,0,,Healthy
Bok Choy (1 cup steamed),Vegetable,10,1.5,2,0.1,1,1,40,0,Dinner,0,,Healthy
Gummy Bears (10 pcs),Snack/Dessert,100,2,22,0,0,15,10,0,Snack,0,,Moderate
Whiskey (1.5 oz shot),Beverage,105,0,0.1,0,0,0.1,1,0,Snack,0,,Healthy
Dates (2 medium Medjool),Fruit,133,0.8,36,0.1,3.2,32,1,0,Snack,0,,Moderate
Tahini (1 tbsp),Condiment,89,2.6,3.2,8,1.4,0.1,17,0,Snack,0,,Healthy
Chickpeas (1/2 cup canned),Legume,135,7,22,2,6,3,250,0,Lunch,0,,Healthy
Lettuce (Romaine 2 cups),Vegetable,16,1,3,0.3,2,1,10,0,Lunch,0,,Healthy
Italian Dressing (2 tbsp),Condiment,70,0,3,7,0,2,300,0,Lunch,0,,Healthy
Croutons (1/4 cup),Grain,50,1.5,7,2,0.5,0.5,140,0,Lunch,0,,Healthy
Turkey Sausage (1 patty),Protein/Meat,70,9,1,4,0,0.5,280,35,Breakfast,0,,Healthy
Maple Syrup (1 tbsp),Condiment,52,0,13.5,0,0,12,1,0,Breakfast,0,,Healthy
Margarita (1 drink, 4oz),110,200,0.1,20,0,0.1,19,5,0,Snack,120,Moderate
Quesadilla (Cheese 1 medium),Meal/Processed,400,18,35,22,3,2,700,50,Lunch,250,,Unhealthy
Sour Cream (1 tbsp),Condiment/Dairy,30,0.4,0.6,2.9,0,0.4,12,6,Lunch,0,,Healthy
Salsa (2 tbsp),Condiment,10,0.5,2,0,0.5,1,120,0,Lunch,0,,Healthy
Red Cabbage (1 cup raw),Vegetable,22,1.1,5.2,0.1,1.6,2.8,8,0,Dinner,0,,Healthy
Duck (3oz roasted),Protein/Meat,285,16,0,24,0,0,65,72,Dinner,0,,Moderate
Orange Sauce (1/4 cup for duck),Condiment,90,0.5,22,0,0.5,20,200,0,Dinner,0,,Moderate
Wild Rice (1 cup cooked),Grain,166,6.5,35,0.6,3,1.2,5,0,Dinner,0,,Healthy
Cupcake (Vanilla 1 medium),Dessert,240,2,35,11,1,25,200,30,Snack,0,,Moderate
Frosting (Vanilla 2 tbsp),Condiment,140,0,22,6,0,22,65,0,Snack,0,,Moderate
Hot Sauce (1 tsp Tabasco),Condiment,0,0,0,0,0,0,35,0,Breakfast,0,,Healthy
Bison Burger (1 patty),Protein/Meat,150,22,0,7,0,0,65,70,Lunch,250,,Healthy
Pretzel Bun (1 medium),Grain,230,8,45,2,2,4,550,0,Lunch,0,,Moderate
Spicy Mustard (1 tbsp),Condiment,10,0.5,1,0.5,0.5,0,120,0,Lunch,0,,Healthy
Pasta Salad (1 cup),Meal/Pasta,280,8,30,14,4,5,450,10,Lunch,0,,Healthy
Salami (3 slices),Protein/Processed,110,6,1,9,0,0.5,500,30,Lunch,0,,Moderate
Pepperoncini (2 peppers),Vegetable,10,0.5,2,0,1,1,350,0,Lunch,0,,Healthy
Coconut Milk (1/4 cup canned),Condiment,111,1.1,2.9,11.6,0.5,1.5,8,0,Dinner,0,,Healthy
Green Curry Paste (1 tbsp),Condiment,30,0.5,2,2.5,1,1,400,0,Dinner,0,,Healthy
Chicken Thigh (1 roasted),Protein/Meat,210,24,0,13,0,0,90,120,Dinner,0,,Healthy
Jasmine Rice (1 cup cooked),Grain,205,4.3,45,0.4,0.6,0,2,0,Dinner,0,,Healthy
Thai Iced Tea (1 glass),Beverage,250,3,35,12,0,33,50,35,Snack,300,,Moderate
Papaya (1 cup cubes),Fruit,62,0.6,15.7,0.4,2.5,11,12,0,Snack,0,,Healthy
Lime Juice (1 tbsp),Condiment,4,0.1,1.3,0,0.1,0.2,0,0,Snack,0,,Healthy
Macaroni Salad (1 cup),Meal/Pasta,380,8,30,25,3,6,750,20,Lunch,0,,Unhealthy
Celery (1 stalk),Vegetable,6,0.3,1.2,0.1,0.6,0.5,32,0,Lunch,0,,Healthy
Blue Cheese (1 oz),Dairy,100,6,0.7,8,0,0.1,325,21,Snack,0,,Healthy
Dark Chocolate (1 oz 70%),Dessert,170,2.2,13,12,3,7,5,0,Snack,0,,Healthy
Acai Bowl (1 serving),Meal/Fruit,350,5,60,12,10,30,40,0,Breakfast,250,,Healthy
Granola (1/4 cup topping),Grain,120,3,15,6,3,7,20,0,Breakfast,0,,Healthy
Coconut Flakes (1 tbsp topping),Fruit,35,0.3,1.5,3.3,0.7,0.5,1,0,Breakfast,0,,Healthy
Honey (1 tsp drizzle),Condiment,21,0,5.8,0,0,5.8,0,0,Breakfast,0,,Healthy
Shrimp Cocktail (4 large shrimp),Protein/Seafood,60,10,1,1,0,0.5,300,110,Snack,0,,Healthy
Cocktail Sauce (2 tbsp),Condiment,30,0.5,7,0,0.5,5,450,0,Snack,0,,Moderate
Pork Bun (1 steamed),Meal/Processed,220,8,30,8,2,6,400,20,Lunch,0,,Healthy
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180,12,10,10,2,1,550,60,Lunch,0,,Moderate
Soy Sauce (1 tbsp for dipping),Condiment,9,1,1,0,0.1,0.4,920,0,Lunch,0,,Moderate
Oyster (1 medium raw),Protein/Seafood,8,1,0.5,0.2,0,0,50,10,Dinner,0,,Healthy
Mignonette Sauce (1 tbsp),Condiment,5,0,1,0,0,0.5,30,0,Dinner,0,,Healthy
Beef Pho (1 large bowl),Meal/Soup,450,30,55,12,4,5,1500,60,Dinner,500,,Moderate
Bean Sprouts (1/4 cup garnish),Vegetable,8,0.8,1.5,0.1,0.4,1,1,0,Dinner,0,,Healthy
Thai Basil (garnish),Condiment,1,0.1,0,0,0,0,0,0,Dinner,0,,Healthy
Lime Wedge (garnish),Condiment,3,0.1,1,0,0.3,0.2,0,0,Dinner,0,,Healthy
Jalapeno (1 tbsp sliced),Vegetable,4,0.1,0.8,0.1,0.4,0.5,1,0,Dinner,0,,Healthy
Hoisin Sauce (1 tbsp),Condiment,35,0.3,8,0.2,0.1,5,220,0,Dinner,0,,Healthy
Sriracha (1 tsp),Condiment,5,0.1,1,0.1,0.1,0.8,80,0,Dinner,0,,Healthy
Crepe (1 plain),Grain,90,3.5,14,2,0.5,3,100,25,Breakfast,0,,Healthy
Nutella (1 tbsp),Condiment,100,1.5,11,6,1,10,10,0,Breakfast,0,,Healthy
Powdered Sugar (1 tsp),Condiment,10,0,2.5,0,0,2.5,0,0,Breakfast,0,,Healthy
Sake (3 oz),Beverage,117,0.4,3.8,0,0,0,4,0,Dinner,0,,Healthy
Edamame (in pod 1 cup),Legume,120,11,9,5,5,2,9,0,Snack,250,,Healthy
Sea Salt (coarse 1/4 tsp),Condiment,0,0,0,0,0,0,550,0,Snack,0,,Moderate
Biryani (Chicken 1.5 cups),Meal/Meat,520,28,60,18,5,6,900,75,Dinner,0,,Moderate
Raita (2 tbsp),Condiment/Dairy,30,1,2,2,0.5,1.5,100,5,Dinner,0,,Healthy
Lassi (Mango 1 cup),Beverage,180,5,30,4,1,28,60,15,Snack,240,,Moderate
Samosa (1 piece vegetable),Snack/Processed,130,2,18,6,2,1,300,0,Snack,0,,Healthy
Tamarind Chutney (1 tbsp),Condiment,20,0.1,5,0,0.5,4,120,0,Snack,0,,Healthy
Mint Chutney (1 tbsp),Condiment,5,0.2,0.5,0,0.3,0.2,150,0,Snack,0,,Healthy
Pani Puri (6 pcs),Snack/Processed,200,4,35,5,3,2,400,0,Snack,0,,Healthy
Passion Fruit (1 fruit),Fruit,17,0.4,4.2,0.1,1.9,2,5,0,Snack,0,,Healthy
Kimchi Jjigae (1 bowl),Meal/Soup,350,15,20,22,5,6,1200,30,Dinner,500,,Moderate
Silken Tofu (3oz in soup),Protein/Vegetarian,45,5,2,2.5,0.5,1,5,0,Dinner,0,,Healthy
Pork Belly (1 oz in soup),Protein/Meat,145,3,0,15,0,0,150,20,Dinner,0,,Healthy
Gochugaru (1 tsp),Condiment,10,0.3,1.8,0.3,0.5,0.3,1,0,Dinner,0,,Healthy
Gochujang (1 tbsp),Condiment,30,0.5,6,0,0.5,4,200,0,Dinner,0,,Healthy
Sesame Oil (1 tsp),Condiment,40,0,0,4.5,0,0,0,0,Dinner,0,,Healthy
Fish Sauce (1 tsp),Condiment,5,0.4,0.5,0,0,0.4,450,0,Dinner,0,,Moderate
Sugar (1 tsp, in broth),110,16,0,4,0,0,4,0,0,Dinner,0,Healthy
Green Onion (1 tbsp garnish),Vegetable,3,0.2,0.7,0,0.2,0.2,0,0,Dinner,0,,Healthy
Kombucha (16 oz),Beverage,60,0,14,0,0,12,20,0,Snack,473,,Healthy
Beef Wellington (1 slice),Meal/Meat,600,30,35,38,4,4,850,100,Dinner,0,,Moderate
Pate (Mushroom 2 tbsp),Condiment,70,1,2,7,1,1,100,0,Dinner,0,,Healthy
Puff Pastry (1 oz wrapper),Grain,115,1.5,9,8,0.5,0,100,0,Dinner,0,,Healthy
Prosciutto (1 slice),Protein/Meat,35,4,0,2.5,0,0,280,10,Dinner,0,,Healthy
Asparagus (6 spears roasted),Vegetable,40,4,4,2,3,2,150,0,Dinner,0,,Healthy
Hollandaise Sauce (1 tbsp),Condiment,55,0.5,0.2,6,0,0.1,75,25,Dinner,0,,Healthy
Flan (1 slice),Dessert,220,6,35,7,0,33,80,90,Snack,0,,Moderate
Caramel Sauce (1 tbsp),Condiment,60,0,13,1,0,12,30,5,Snack,0,,Healthy
Congee (1 cup plain),Meal/Grain,130,2.5,28,1,1,0.5,300,0,Breakfast,0,,Healthy
Pickled Radish (1/4 cup),Vegetable,15,0.5,3,0,1,2,250,0,Breakfast,0,,Healthy
Pork Floss (1 tbsp),Protein/Meat,50,4,3,2,0,2.5,150,10,Breakfast,0,,Healthy
Century Egg (1 egg),Protein,100,7,1,7,0,0.5,300,200,Breakfast,0,,Healthy
Arugula (2 cups),Vegetable,10,1,0.8,0.2,0.4,0.4,6,0,Lunch,0,,Healthy
Goat Cheese (1 oz),Dairy,103,6.1,0.1,8.5,0,0.1,146,22,Lunch,0,,Healthy
Beets (1/2 cup roasted),Vegetable,30,0.8,6.8,0.1,1.4,5.8,50,0,Lunch,0,,Healthy
Walnuts (1 tbsp chopped),Nut,46,1.1,1,4.6,0.5,0.2,0,0,Lunch,0,,Healthy
Balsamic Glaze (1 tbsp),Condiment,40,0,9,0,0,8,10,0,Lunch,0,,Healthy
Bobotie (1 serving),Meal/Meat,450,25,30,25,5,15,700,150,Dinner,0,,Unhealthy
Yellow Rice (1 cup),Grain,230,4,50,1,2,1,300,0,Dinner,0,,Healthy
Chutney (Mango 1 tbsp),Condiment,45,0.1,11,0.1,0.5,10,180,0,Dinner,0,,Healthy
Malva Pudding (1 slice),Dessert,380,5,60,14,2,40,350,60,Snack,0,,Moderate
Custard (1/4 cup),Condiment,80,3,10,3,0,8,40,40,Snack,0,,Healthy
Bubble Tea (16 oz milk tea),Beverage,320,2,70,4,1,60,100,10,Snack,473,,Moderate
Tapioca Pearls (1/4 cup boba),Condiment,100,0,25,0,0,20,5,0,Snack,0,,Moderate
Paella (1.5 cups seafood),Meal/Rice,550,30,70,18,6,5,1200,110,Dinner,0,,Moderate
Chorizo (1 oz in paella),Protein/Meat,130,6,1,11,0,0.5,350,30,Dinner,0,,Healthy
Saffron (pinch),Condiment,1,0,0.1,0,0,0,0,0,Dinner,0,,Healthy
Aioli (Garlic 1 tbsp),Condiment,95,0.1,0.5,10.5,0,0.1,70,5,Dinner,0,,Healthy
Gazpacho (1 cup),Meal/Soup,90,2,12,4,3,7,600,0,Lunch,240,,Moderate
Croutons (Garlic 1/4 cup),Grain,50,1.5,7,2,0.5,0.5,140,0,Lunch,0,,Healthy
Olive Oil (1 tsp garnish),Condiment,40,0,0,4.5,0,0,0,0,Lunch,0,,Healthy
Churros (2 sticks),Dessert,240,3,30,12,1.5,10,200,20,Snack,0,,Healthy
Chocolate Sauce (1 tbsp dipping),Condiment,50,0.5,10,1.5,1,8,5,0,Snack,0,,Healthy
Cinnamon Sugar (1 tsp),Condiment,20,0,5,0,0,5,0,0,Snack,0,,Healthy
Horchata (1 cup),Beverage,140,2,25,3,1,22,30,5,Snack,240,,Moderate
Ceviche (1 cup fish),Meal/Fish,180,25,15,2,3,4,700,45,Lunch,0,,Moderate
Red Onion (1/4 cup in ceviche),Vegetable,16,0.3,3.7,0,0.4,1.8,1,0,Lunch,0,,Healthy
Cilantro (2 tbsp garnish),Condiment,1,0.1,0,0,0.1,0,0,0,Lunch,0,,Healthy
Corn Nuts (1 oz),Snack/Processed,130,2,23,4,2,0,180,0,Snack,0,,Healthy
Lomo Saltado (1.5 cups),Meal/Meat,500,35,45,22,5,6,1100,90,Dinner,0,,Moderate
French Fries (as side),Vegetable/Processed,200,2,25,10,2,0.2,130,0,Dinner,0,,Healthy
Soy Sauce (1 tbsp in stir-fry),Condiment,9,1,1,0,0.1,0.4,920,0,Dinner,0,,Moderate
Aji Amarillo Paste (1 tsp),Condiment,5,0.1,1,0,0.5,0.5,50,0,Dinner,0,,Healthy
Pisco Sour (1 drink),Beverage,250,1,25,0,0,24,5,5,Snack,180,,Moderate
Egg White (in drink),Condiment,17,3.6,0.2,0,0,0.2,55,0,Snack,0,,Healthy
Angostura Bitters (dash),Condiment,5,0,0,0,0,0,0,0,Snack,0,,Healthy
Alfajores (1 cookie),Dessert,180,2,22,10,1,15,60,20,Snack,0,,Moderate
Dulce de Leche (1 tbsp filling),Condiment,65,1,12,1.5,0,10,30,5,Snack,0,,Healthy
Coconut (shredded garnish),Fruit,10,0.1,0.5,1,0.2,0.1,0,0,Snack,0,,Healthy
Mate (1 cup),Beverage,5,0.2,1,0,0,0,2,0,Breakfast,240,,Healthy
Media Luna (1 pastry),Grain,190,4,25,8,1,9,150,25,Breakfast,0,,Healthy
Chimichurri (1 tbsp),Condiment,45,0.1,0.5,4.5,0.2,0.1,100,0,Dinner,0,,Healthy
Skirt Steak (4oz grilled),Protein/Meat,240,26,0,15,0,0,70,80,Dinner,0,,Healthy
Provoleta (1 oz grilled cheese),Dairy,100,7,1,8,0,0.5,250,20,Dinner,0,,Healthy
Oregano (1 tsp),Condiment,3,0.1,0.7,0,0.2,0,0,0,Dinner,0,,Healthy
Empanada (Beef 1 medium),Meal/Processed,290,10,28,16,3,3,550,30,Lunch,0,,Moderate
Chicken Milanesa (1 serving),Meal/Meat,450,35,30,22,3,2,700,100,Dinner,0,,Unhealthy
Mashed Potatoes (side),Vegetable,150,3,25,4,2,2,300,10,Dinner,0,,Healthy
Flan (1 slice),Dessert,220,6,35,7,0,33,80,90,Snack,0,,Moderate
Choripan (1 sandwich),Meal/Processed,550,20,40,35,3,4,1100,80,Lunch,250,,Unhealthy
Baguette (slice),Grain,70,2.5,14,0.5,0.6,0.5,150,0,Lunch,0,,Healthy
Chimichurri (1 tbsp),Condiment,45,0.1,0.5,4.5,0.2,0.1,100,0,Lunch,0,,Healthy
Pizza (Margherita 1 slice),Meal/Processed,250,12,30,10,3,4,600,25,Dinner,250,,Moderate
Fresh Mozzarella (1 oz),Dairy,72,5,0.8,5,0,0.3,138,22,Dinner,0,,Healthy
Basil (2 tbsp fresh),Condiment,1,0.1,0.1,0,0.1,0,0,0,Dinner,0,,Healthy
Carbonara (1.5 cups),Meal/Pasta,650,25,60,35,4,4,900,250,Dinner,0,,Moderate
Guanciale (1 oz),Protein/Meat,170,3,0,18,0,0,450,35,Dinner,0,,Moderate
Pecorino Cheese (1 tbsp),Dairy,25,1.5,0.1,2,0,0,110,6,Dinner,0,,Healthy
Black Pepper (1/4 tsp),Condiment,1,0,0.2,0,0.1,0,0,0,Dinner,0,,Healthy
Egg Yolk (1 large in sauce),Protein,55,2.7,0.6,4.5,0,0.3,8,184,Dinner,0,,Healthy
Supplì (1 piece fried rice ball),Snack/Processed,200,8,25,8,2,2,400,25,Snack,0,,Healthy
Aperol Spritz (1 drink),Beverage,180,0,20,0,0,20,10,0,Snack,150,,Moderate
Prosecco (3 oz),Beverage,70,0,2,0,0,1.5,5,0,Snack,0,,Healthy
Club Soda (2 oz),Beverage,0,0,0,0,0,0,20,0,Snack,0,,Healthy
Orange Slice (garnish),Fruit,5,0.1,1,0,0.2,0.8,0,0,Snack,0,,Healthy
Tagliatelle al Ragù (Bolognese),Meal/Pasta,550,28,65,20,7,8,850,70,Dinner,500,,Moderate
Ground Beef (2 oz in sauce),Protein/Meat,140,11,0,10,0,0,40,35,Dinner,0,,Healthy
Pancetta (0.5 oz in sauce),Protein/Meat,45,1.5,0,4.5,0,0,160,10,Dinner,0,,Healthy
Carrot (1/4 minced in sauce),Vegetable,10,0.2,2.4,0.1,0.7,1.2,17,0,Dinner,0,,Healthy
Celery (1/4 stalk minced),Vegetable,2,0.1,0.4,0,0.2,0.2,12,0,Dinner,0,,Healthy
Onion (1/8 minced in sauce),Vegetable,5,0.1,1.2,0,0.2,0.6,1,0,Dinner,0,,Healthy
Crushed Tomatoes (1/2 cup sauce),Vegetable,20,1,4,0,1.5,3,200,0,Dinner,0,,Healthy
Parmigiano-Reggiano (1 tbsp),Dairy,22,2,0.2,1.5,0,0,95,4,Dinner,0,,Healthy
Cannoli (1 medium),Dessert,240,5,25,13,1,18,100,30,Snack,0,,Moderate
Ricotta (filling 1 oz),Dairy,49,3.2,0.8,3.8,0,0.1,23,14,Snack,0,,Healthy
Pistachio (garnish),Nut,10,0.4,0.5,0.8,0.2,0.1,0,0,Snack,0,,Healthy
Biscotti (1 cookie),Dessert,110,2,18,4,1,9,50,15,Snack,0,,Healthy
Espresso (for dipping),Beverage,2,0.2,0,0,0,0,1,0,Snack,30,,Healthy
